elevation_m,area_dam2,capacity_dam3
626.614,202,6.04
626.615,203,6.06
626.616,203,6.07
626.617,203,6.09
626.618,204,6.11
626.619,204,6.12
626.62,205,6.14
626.621,205,6.15
626.622,206,6.17
626.623,206,6.18
626.624,207,6.2
626.625,207,6.22
626.626,208,6.23
626.627,208,6.25
626.628,208,6.26
626.629,209,6.28
626.63,209,6.29
626.631,210,6.31
626.632,210,6.33
626.633,211,6.34
626.634,211,6.36
626.635,212,6.37
626.636,212,6.39
626.637,213,6.41
626.638,213,6.42
626.639,213,6.44
626.64,214,6.45
626.641,214,6.47
626.642,215,6.48
626.643,215,6.5
626.644,216,6.52
626.645,216,6.53
626.646,217,6.55
626.647,217,6.56
626.648,217,6.58
626.649,218,6.59
626.65,218,6.61
626.651,219,6.63
626.652,219,6.64
626.653,220,6.66
626.654,220,6.67
626.655,221,6.69
626.656,221,6.7
626.657,222,6.72
626.658,222,6.74
626.659,222,6.75
626.66,223,6.77
626.661,223,6.78
626.662,224,6.8
626.663,224,6.82
